Source ,Target,SourceID,TargetID,Duration,Cost,Platform Change
London,Birmingham Moor Street,0,2,204,20,1
London,Banbury,0,1,118,18.9,1
London,Reading,0,4,28,27.4,1
London,Sheffield,0,5,134,56.5,1
London,Preston,0,7,202,94.4,1
London,Oxenholme,0,8,102,105.2,1
Banbury,Birmingham New Street,1,3,86,12.86,1
Banbury,Reading,1,4,44,12.5,1
Birmingham Moor Street,Birmingham New Street,2,3,14,6.11,1
Birmingham New Street,Manchester Piccadilly,3,6,78,18.52,1
Reading,Birmingham New Street,4,3,27,12.86,1
Reading,Sheffield,4,5,184,50.1,1
Sheffield,Manchester Piccadilly,5,6,51,50.5,1
Manchester Piccadilly,Preston,6,7,37,22.85,1
Preston,Oxenholme,7,8,26,9.8,1
Preston,Lakes,7,9,60,70,1
Oxenholme,Lakes,8,9,30,35,1
Lakes,Lakes,9,9,0,0,0
